,precision,recall,f1,iou_th,lam3,threshold,record
4,0.3449660284126004,0.6976889444097439,0.4616656333953297,0.5,45,0.5,01-02-0007
5,0.28289067325509576,0.5721424109931293,0.3785906178962596,0.6,45,0.5,01-02-0007
6,0.2192711550339716,0.443472829481574,0.29344905972308327,0.7,45,0.5,01-02-0007
7,0.144224830142063,0.29169269206745785,0.19301508576152096,0.8,45,0.5,01-02-0007
8,0.05713403335392218,0.1155527795128045,0.07646207894193015,0.9,45,0.5,01-02-0007
0,0.4573367808661926,0.8838226108682073,0.6027689030883919,0.1,46,0.5,01-02-0007
1,0.4460245636716225,0.8619612742036228,0.5878594249201279,0.2,46,0.5,01-02-0007
2,0.4269553975436328,0.8251093066833229,0.5627263045793397,0.3,46,0.5,01-02-0007
3,0.39398836457659986,0.7613991255465334,0.5192758253461128,0.4,46,0.5,01-02-0007
4,0.35488041370394313,0.6858213616489693,0.4677316293929713,0.5,46,0.5,01-02-0007
5,0.288623141564318,0.5577763897564022,0.3804046858359957,0.6,46,0.5,01-02-0007
6,0.2220426632191338,0.429106808244847,0.29265175718849845,0.7,46,0.5,01-02-0007
7,0.14705882352941177,0.28419737663960026,0.19382321618743348,0.8,46,0.5,01-02-0007
8,0.05850032320620556,0.11305434103685197,0.07710330138445154,0.9,46,0.5,01-02-0007
0,0.47078804347826086,0.8657089319175515,0.6099009900990099,0.1,47,0.5,01-02-0007
1,0.4585597826086957,0.8432229856339788,0.594059405940594,0.2,47,0.5,01-02-0007
2,0.43953804347826086,0.8082448469706434,0.5694169416941693,0.3,47,0.5,01-02-0007
3,0.40726902173913043,0.7489069331667708,0.5276127612761277,0.4,47,0.5,01-02-0007
4,0.36514945652173914,0.6714553404122423,0.473047304730473,0.5,47,0.5,01-02-0007
5,0.2985733695652174,0.5490318550905684,0.38679867986798677,0.6,47,0.5,01-02-0007
6,0.2269021739130435,0.41723922548407244,0.29394939493949396,0.7,47,0.5,01-02-0007
7,0.14775815217391305,0.2717051842598376,0.1914191419141914,0.8,47,0.5,01-02-0007
8,0.05672554347826087,0.10430980637101811,0.07348734873487349,0.9,47,0.5,01-02-0007
0,0.4812566940378436,0.8419737663960025,0.6124488868696047,0.1,48,0.5,01-02-0007
1,0.46983220278471977,0.8219862585883823,0.5979100408905044,0.2,48,0.5,01-02-0007
2,0.44876829703677257,0.7851342910680824,0.5711040436165379,0.3,48,0.5,01-02-0007
3,0.41663691538736164,0.7289194253591506,0.530213539300318,0.4,48,0.5,01-02-0007
4,0.3727240271331667,0.6520924422236103,0.47432985006815087,0.5,48,0.5,01-02-0007
5,0.3056051410210639,0.5346658338538414,0.3889141299409359,0.6,48,0.5,01-02-0007
6,0.23491610139235988,0.41099312929419113,0.2989550204452522,0.7,48,0.5,01-02-0007
7,0.15066047840057123,0.26358525921299186,0.19173103134938665,0.8,48,0.5,01-02-0007
8,0.06140664048554088,0.10743285446595878,0.0781462971376647,0.9,48,0.5,01-02-0007
0,0.5788882650196518,0.6199639206253759,0.5987224157955865,0.1,45,0.5,01-02-0009
1,0.5738349241998877,0.6145520144317499,0.5934959349593496,0.2,45,0.5,01-02-0009
2,0.5513756316676025,0.5904990980156344,0.570267131242741,0.3,45,0.5,01-02-0009
3,0.4952274003368894,0.5303668069753458,0.5121951219512194,0.4,45,0.5,01-02-0009
4,0.42897248736664795,0.45941070354780517,0.4436701509872242,0.5,45,0.5,01-02-0009
5,0.3368893879842785,0.3607937462417318,0.3484320557491289,0.6,45,0.5,01-02-0009
6,0.21224031443009544,0.22730006013229104,0.21951219512195122,0.7,45,0.5,01-02-0009
7,0.11510387422796182,0.1232711966325917,0.11904761904761904,0.8,45,0.5,01-02-0009
8,0.03481190342504211,0.037282020444978956,0.036004645760743324,0.9,45,0.5,01-02-0009
0,0.5817757009345794,0.5989176187612748,0.5902222222222222,0.1,46,0.5,01-02-0009
1,0.5771028037383178,0.5941070354780517,0.5854814814814815,0.2,46,0.5,01-02-0009
2,0.5531542056074766,0.5694527961515333,0.5611851851851851,0.3,46,0.5,01-02-0009
3,0.4953271028037383,0.5099218280216476,0.5025185185185185,0.4,46,0.5,01-02-0009
4,0.4252336448598131,0.4377630787733013,0.4314074074074074,0.5,46,0.5,01-02-0009
5,0.33119158878504673,0.3409500901984366,0.336,0.6,46,0.5,01-02-0009
6,0.20794392523364486,0.21407095610342755,0.21096296296296296,0.7,46,0.5,01-02-0009
7,0.11214953271028037,0.11545399879735418,0.11377777777777778,0.8,46,0.5,01-02-0009
8,0.03271028037383177,0.03367408298256164,0.03318518518518518,0.9,46,0.5,01-02-0009
0,0.5851990049751243,0.565844858689116,0.5753592173647203,0.1,47,0.5,01-02-0009
1,0.5808457711442786,0.5616355983162958,0.5710791806786916,0.2,47,0.5,01-02-0009
2,0.5572139303482587,0.5387853277209862,0.5478446958116784,0.3,47,0.5,01-02-0009
3,0.5,0.4834636199639206,0.491592785081015,0.4,47,0.5,01-02-0009
4,0.416044776119403,0.40228502705953095,0.4090492204218894,0.5,47,0.5,01-02-0009
5,0.32213930348258707,0.3114852675886951,0.3167227147661265,0.6,47,0.5,01-02-0009
6,0.2027363184079602,0.19603126879134095,0.19932742280648116,0.7,47,0.5,01-02-0009
7,0.10945273631840796,0.105832832230908,0.10761235096300825,0.8,47,0.5,01-02-0009
8,0.03109452736318408,0.03006614552014432,0.030571690614490984,0.9,47,0.5,01-02-0009
0,0.5911784068466096,0.539987973541792,0.5644248900062854,0.1,48,0.5,01-02-0009
1,0.587228439763002,0.5363800360793747,0.5606536769327468,0.2,48,0.5,01-02-0009
2,0.5576036866359447,0.5093205051112447,0.5323695788812067,0.3,48,0.5,01-02-0009
3,0.500329163923634,0.45700541190619365,0.4776869893148963,0.4,48,0.5,01-02-0009
4,0.41935483870967744,0.3830426939266386,0.40037712130735387,0.5,48,0.5,01-02-0009
5,0.3140223831468071,0.28683102826217677,0.29981143934632304,0.6,48,0.5,01-02-0009
6,0.19486504279131006,0.17799158147925437,0.18604651162790697,0.7,48,0.5,01-02-0009
7,0.10664911125740618,0.0974143114852676,0.10182275298554369,0.8,48,0.5,01-02-0009
8,0.027649769585253458,0.025255562236921228,0.026398491514770583,0.9,48,0.5,01-02-0009
0,0.6276824034334764,0.6037151702786377,0.6154655444502893,0.1,45,0.5,01-02-0010
1,0.6233905579399142,0.5995872033023736,0.6112572330352446,0.2,45,0.5,01-02-0010
2,0.5992489270386266,0.5763673890608875,0.5875854813256182,0.3,45,0.5,01-02-0010
3,0.5450643776824035,0.5242518059855521,0.5344555497106785,0.4,45,0.5,01-02-0010
