,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
2,0.34210526315789475,0.7968094038623006,0.478688524590164,0.3,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
3,0.28875270367700073,0.672544080604534,0.4040353089533417,0.4,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
4,0.23071377072819033,0.5373635600335852,0.3228247162673392,0.5,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
5,0.1658255227108868,0.38623005877413935,0.23203026481715008,0.6,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
6,0.10670511896178803,0.24853064651553317,0.1493064312736444,0.7,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
7,0.050108147080028836,0.11670864819479429,0.07011349306431273,0.8,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
8,0.014059120403749098,0.0327455919395466,0.019672131147540982,0.9,0.4714327088900883,0.5343840467971229,0.5009384012440519,01-02-0017,record
0,0.2920302501454334,0.8964285714285715,0.4405440982887231,0.1,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
1,0.29009113825867755,0.8904761904761904,0.4376188386719322,0.2,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
2,0.2858250921078146,0.8773809523809524,0.43118326751499186,0.3,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
3,0.27205739771184795,0.8351190476190476,0.4104139242357759,0.4,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
4,0.2414194299011053,0.7410714285714286,0.3641948222904783,0.5,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
5,0.19701376769439596,0.6047619047619047,0.2972063770659646,0.6,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
6,0.13185960829939888,0.40476190476190477,0.19891765394178731,0.7,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
7,0.06883847197983324,0.2113095238095238,0.10384671639608015,0.8,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
8,0.02036067481093659,0.0625,0.030715225976305396,0.9,0.33997530971420065,0.7783282481235221,0.47323892580068777,01-02-0018,record
0,0.541566265060241,0.8497164461247637,0.6615158204562178,0.1,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
1,0.536144578313253,0.8412098298676749,0.6548933038999264,0.2,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
2,0.5072289156626506,0.7958412098298677,0.6195732155997057,0.3,0.5839775411944137,0.5524354105224445,0.5677687362120161,01-02-0019,record
